,Reward
0,-51
1,-50
2,-53
3,-59
4,-52
5,5
6,-30
7,-26
8,-35
9,-50
10,-11
11,-19
12,-32
13,-3
14,-7
15,-51
16,-27
17,-21
18,-9
19,-43
20,-26
21,-37
22,-13
23,-50
24,14
25,-50
26,-50
27,-25
28,-18
29,-61
30,8
31,-8
32,-12
33,-63
34,-52
35,-52
36,-52
37,-52
38,-53
39,-58
40,-58
41,15
42,-56
43,3
44,-20
45,5
46,-50
47,8
48,-3
49,-18
50,-50
51,34
52,-16
53,-12
54,-66
55,-84
56,-66
57,46
58,6
59,17
60,-54
61,-50
62,-50
63,-51
64,-51
65,0
66,-8
67,-55
68,-52
69,-38
70,-58
71,-50
72,4
73,-9
74,-8
75,-6
76,-50
77,22
78,-68
79,-32
80,44
81,-24
82,-12
83,-1
84,-58
85,-50
86,-58
87,0
88,-50
89,-11
90,-8
91,-50
92,-50
93,-53
94,-50
95,-52
96,-67
97,-51
98,1
99,-50
100,-18
101,-14
102,29
103,-58
104,-51
105,-4
106,-13
107,6
108,15
109,-11
110,-51
111,-50
112,-50
113,-44
114,-34
115,12
116,-7
117,-52
118,-6
119,-50
120,-55
121,-51
122,-54
123,-54
124,-38
125,-50
126,-50
127,-52
128,-51
129,-33
130,-50
131,-51
132,-20
133,1
134,-28
135,-22
136,-22
137,-8
138,8
139,-7
140,4
141,-46
142,-3
143,-29
144,-50
145,-50
146,9
147,-9
148,-52
149,-50
150,-51
151,6
152,-26
153,-25
154,-50
155,-52
156,-51
157,-55
158,-54
159,-56
160,-50
161,42
162,-18
163,-5
164,12
165,-50
166,7
167,-23
168,-50
169,-15
170,-51
171,-3
172,-14
173,-22
174,-18
175,-50
176,-52
177,-51
178,-50
179,26
180,-50
181,23
182,-50
183,-45
184,-9
185,10
186,-12
187,-11
188,-52
189,-50
190,-14
191,33
192,6
193,-28
194,-18
195,-50
196,-50
197,-7
198,-6
199,11
200,-4
201,-16
202,8
203,31
204,2
205,-50
206,43
207,6
208,-62
209,-51
210,-50
211,-53
212,-11
213,-7
214,-27
215,33
216,-54
217,-23
218,-55
219,2
220,6
221,-7
222,-57
223,-69
224,-50
225,11
226,-44
227,32
228,-54
229,-53
230,-52
231,11
232,-18
233,-53
234,-20
235,-6
236,13
237,-7
238,-51
239,17
240,-52
241,-52
242,-39
243,-50
244,15
245,-28
246,-14
247,9
248,-50
249,114
250,-50
251,-14
252,-17
253,-51
254,45
255,-50
256,19
257,21
258,-50
259,-40
260,-53
261,44
262,-33
263,29
264,-50
265,-56
266,-58
267,-59
268,-8
269,-64
270,-50
271,4
272,35
