,Reward
0,-50
1,-51
2,-50
3,-56
4,-56
5,-54
6,-50
7,-59
8,-63
9,-50
10,-51
11,-51
12,-51
13,-52
14,-50
15,-21
16,-2
17,-8
18,-16
19,-19
20,-44
21,-36
22,-50
23,-9
24,14
25,-15
26,-26
27,-50
28,-44
29,-23
30,-50
31,-50
32,-26
33,-44
34,-34
35,-50
36,-50
37,-56
38,-28
39,-17
40,4
41,1
42,-20
43,-18
44,-50
45,-50
46,-9
47,8
48,-31
49,-50
50,15
51,-30
52,-50
53,-44
54,-6
55,-20
56,-20
57,-40
58,-12
59,-50
60,-6
61,-1
62,-50
63,0
64,-50
65,-44
66,-8
67,5
68,-13
69,-27
70,4
71,25
72,-15
73,-38
74,-33
75,-40
76,11
77,6
78,-35
79,-22
80,-44
81,-18
82,-35
83,-9
84,-10
85,24
86,25
87,-44
88,-23
89,-16
90,-2
91,-27
92,-18
93,-5
94,-44
95,-12
96,-23
97,-50
98,-12
99,-28
100,-44
101,-30
102,-29
103,-24
104,-44
105,-13
106,-10
107,-34
108,-55
109,-31
110,-42
111,-44
112,-38
113,-21
114,-43
115,-7
116,-8
117,-16
118,-16
119,0
120,-17
121,-14
122,6
123,3
124,-44
125,7
126,-32
127,-67
128,-50
129,0
130,-17
131,-33
132,-38
133,-25
134,-9
135,-16
136,-31
137,-18
138,-20
139,8
140,40
141,-8
142,18
143,17
144,-4
145,-19
146,-15
147,-44
148,-39
149,-39
150,-2
151,27
152,-9
153,14
154,-4
155,-9
156,3
157,-20
158,-43
159,-50
160,2
161,-8
162,17
163,-17
164,18
165,14
166,-30
167,-25
168,11
169,-24
170,-17
171,-13
172,-6
173,-29
174,73
175,4
176,-7
177,5
178,52
179,-3
180,-10
181,-5
182,45
183,18
184,63
185,-20
186,-15
187,30
188,149
189,19
190,4
191,15
192,35
193,-20
194,52
195,-17
196,-14
197,16
198,-10
199,15
