,Reward
0,-55
1,-50
2,-14
3,-34
4,-51
5,-50
6,-51
7,-19
8,-50
9,-55
10,-52
11,-56
12,-50
13,-17
14,-39
15,-51
16,-50
17,-50
18,-76
19,3
20,-50
21,-20
22,-24
23,-50
24,-51
25,-15
26,-50
27,-50
28,-51
29,-50
30,-57
31,-56
32,-39
33,-11
34,-20
35,-17
36,-50
37,-63
38,-32
39,-54
40,-13
41,-63
42,-64
43,-52
44,-20
45,-51
46,-50
47,-19
48,-52
49,-53
50,-59
51,-14
52,-50
53,-51
54,-36
55,-50
56,-50
57,-51
58,1
59,-52
60,-84
61,-50
62,-51
63,-27
64,-51
65,-54
66,-56
67,-37
68,-52
69,-50
70,-50
71,-54
72,-52
73,-54
74,-52
75,-50
76,-50
77,-50
78,-50
79,-50
80,-50
81,-52
82,-50
83,-51
84,-56
85,-35
86,-29
87,-31
88,-70
89,-51
90,-71
91,-26
92,-50
93,-7
94,-54
95,-50
96,-50
97,-52
98,-58
99,-6
100,-57
101,-40
102,-50
103,-19
104,-26
105,-17
106,-50
107,-59
108,-50
109,-66
110,-51
111,-17
112,-52
113,-62
114,-50
115,-86
116,-50
117,-53
118,-50
119,-51
120,-15
121,-50
122,-14
123,-55
124,-79
125,-37
126,-64
127,-58
128,-10
129,-50
130,-18
131,-61
132,-65
133,-51
134,-34
135,-19
136,-54
137,-50
138,-50
139,-14
140,-19
141,-31
142,-50
143,-39
144,-54
145,-54
146,-54
147,-63
148,-17
149,-7
150,-55
151,-68
152,-61
153,-50
154,-33
155,-57
156,-56
157,-54
158,-51
159,-22
160,-51
161,-54
162,-51
163,-59
164,-43
165,-50
166,-36
167,-57
168,-54
169,-13
170,-50
171,-58
172,-58
173,-66
174,-50
175,-52
176,-54
177,-60
178,-50
179,-54
180,24
181,-40
182,-64
183,-10
184,-53
185,-19
186,-61
187,-51
188,-50
189,-59
190,-50
191,-55
192,-55
193,-14
194,29
195,-70
196,-52
197,-52
198,-17
199,-50
