,Reward
0,-64
1,-50
2,-33
3,-51
4,-11
5,-50
6,-53
7,-50
8,-57
9,-51
10,-52
11,-56
12,-36
13,-50
14,-51
15,-52
16,-53
17,-54
18,-50
19,-14
20,-52
21,-53
22,-50
23,-7
24,-53
25,-51
26,-60
27,-51
28,-52
29,7
30,-53
31,-51
32,-51
33,-52
34,-50
35,-51
36,-52
37,-61
38,-51
39,-55
40,-35
41,6
42,-55
43,-50
44,-57
45,-50
46,-55
47,-52
48,-52
49,-50
50,-53
51,-60
52,-53
53,-65
54,-58
55,-50
56,-7
57,-56
58,-15
59,-51
60,-51
61,-55
62,-17
63,-20
64,-55
65,-54
66,-53
67,-5
68,-52
69,-54
70,-50
71,-52
72,-50
73,-51
74,-21
75,-59
76,-4
77,-67
78,-45
79,-53
80,-60
81,-69
82,-57
83,-50
84,-2
85,-50
86,-79
87,-8
88,-50
89,-47
90,-50
91,-15
92,-1
93,-19
94,-20
95,-50
96,-50
97,-37
98,-50
99,-8
100,-50
101,-17
102,-50
103,-21
104,-44
105,1
106,-72
107,-21
108,-37
109,-50
110,-67
111,-50
112,0
113,-2
114,-50
115,-50
116,-16
117,-50
118,-50
119,-12
120,-50
121,-40
122,8
123,-31
124,-7
125,-7
126,-6
127,-50
128,-19
129,-44
130,-50
131,-50
132,-10
133,-31
134,-26
135,-25
136,1
137,-38
138,-44
139,-13
140,-6
141,-13
142,0
143,-16
144,-14
145,-20
146,-27
147,-20
148,-50
149,-13
150,-11
151,-8
152,-14
153,0
154,-44
155,-37
156,-50
157,-19
158,-41
159,-44
160,7
161,-44
162,-14
163,-44
164,-50
165,-2
166,11
167,-123
168,8
169,-50
170,-44
171,-42
172,-44
173,-14
174,-11
175,-72
176,-4
177,-13
178,-44
179,-13
180,-50
181,-30
182,-39
183,-6
184,-30
185,-6
186,-50
187,-50
188,-13
189,-50
190,-38
191,-50
192,3
193,-44
194,-15
195,-11
196,-50
197,-50
198,-68
199,-94
200,-11
201,1
202,-24
203,-72
204,-50
205,-44
206,-90
207,-29
208,-50
209,-22
210,-2
211,-29
212,-50
213,-50
214,-44
215,-29
216,-44
217,-31
218,-50
219,-11
220,-18
221,-34
222,-50
223,-4
224,-14
225,7
226,-44
227,-50
228,-22
229,-50
230,3
231,-50
232,-21
233,-44
234,-44
235,30
236,-50
237,-19
238,-50
239,-27
240,-50
241,6
242,-50
243,-44
244,6
245,-27
246,-50
247,-44
248,-44
249,-10
250,-50
251,-18
252,-50
253,-44
254,-50
255,-34
256,-15
257,-44
258,-12
259,16
260,-50
261,-50
262,-44
263,-18
264,-30
265,-17
266,-50
267,-50
268,-44
269,-10
270,7
271,-29
272,-50
273,-13
274,-6
275,-50
276,-50
277,-72
278,-19
279,-38
280,-43
281,-50
282,-61
283,-12
284,-50
285,-35
286,-21
287,-1
288,-44
289,-50
290,-20
291,-14
292,-50
293,-19
294,-28
295,-50
296,-27
