,159
0,-6.0
1,-4.999999999999999
2,-6.899999999999999
3,-8.7
4,-4.4
5,-5.900000000000002
6,-3.600000000000001
7,-3.2
8,-6.199999999999999
9,-5.1000000000000005
10,0.4999999999999998
11,-9.000000000000002
12,-7.6
13,-9.0
14,0.19999999999999973
15,-5.8
16,-5.3
17,0.19999999999999996
18,-4.800000000000001
19,0.7999999999999996
20,-3.0
21,-3.7
22,1.6
23,-3.0999999999999996
24,-5.6000000000000005
25,-4.6000000000000005
26,10.200000000000001
27,6.6000000000000005
28,6.3999999999999995
29,7.699999999999999
30,2.1999999999999997
31,2.9
32,6.4
33,3.6999999999999997
34,8.700000000000001
35,6.7
36,10.5
37,18.3
38,-1.2
39,10.2
40,17.6
41,18.399999999999995
42,24.0
43,18.900000000000002
44,36.699999999999996
45,18.099999999999998
46,21.0
47,7.300000000000001
48,59.5
49,36.300000000000004
50,7.499999999999999
51,17.099999999999998
52,61.599999999999994
53,10.399999999999999
54,35.3
55,30.999999999999996
56,30.200000000000003
57,22.5
58,17.7
59,11.8
60,14.0
61,27.299999999999997
62,20.599999999999998
63,34.3
64,10.4
65,45.7
66,32.8
67,25.7
68,35.0
69,30.8
70,39.5
71,22.799999999999994
72,47.9
73,26.400000000000002
74,15.4
75,37.49999999999999
76,25.4
77,26.200000000000003
78,38.699999999999996
79,28.6
80,15.6
81,40.30000000000001
82,49.800000000000004
83,38.2
84,33.199999999999996
85,44.2
86,67.30000000000001
87,10.2
88,39.8
89,28.700000000000003
90,39.8
91,25.200000000000003
92,58.1
93,27.6
94,20.299999999999997
95,32.6
96,30.8
97,34.6
98,34.800000000000004
99,73.0
